Estado,Ano,Emissao,Emissao_sem_outlier
MA,1970,28085144.46187756,28085144.46187756
MA,1971,29210491.07539335,29210491.07539335
MA,1972,30361373.46608274,30361373.46608274
MA,1973,31530060.86170525,31530060.86170525
MA,1974,32984485.17750018,32984485.17750018
MA,1975,34752811.89778294,34752811.89778294
MA,1976,35963341.36631282,35963341.36631282
MA,1977,36909222.098731644,36909222.098731644
MA,1978,38748502.957308725,38748502.957308725
MA,1979,41434809.34514402,41434809.34514402
MA,1980,52773576.76416101,52773576.76416101
MA,1981,53250137.84304475,53250137.84304475
MA,1982,57577331.7373,57577331.7373
MA,1983,55610909.3594337,55610909.3594337
MA,1984,59960998.808123335,59960998.808123335
MA,1985,62297620.98891686,62297620.98891686
MA,1986,71138146.53242768,71138146.53242768
MA,1987,75352919.62556848,75352919.62556848
MA,1988,78935815.29263999,78935815.29263999
MA,1989,82313636.5081759,82313636.5081759
MA,1990,1185780808.7509842,1185780808.7509842
MA,1991,949180814.3757999,949180814.3757999
MA,1992,1176423857.8717906,1176423857.8717906
MA,1993,933879345.1167198,933879345.1167198
MA,1994,910732486.1846337,910732486.1846337
MA,1995,860559493.3702787,860559493.3702787
MA,1996,821957411.1927421,821957411.1927421
MA,1997,872475601.9486828,872475601.9486828
MA,1998,1045626099.2738897,1045626099.2738897
MA,1999,741623436.1255025,741623436.1255025
MA,2000,1089492520.2880988,1089492520.2880988
MA,2001,826046723.2393901,826046723.2393901
MA,2002,850072231.4514486,850072231.4514486
MA,2003,1088894094.455242,1088894094.455242
MA,2004,930330108.18747,930330108.18747
MA,2005,890315148.5377003,890315148.5377003
MA,2006,876906781.7534083,876906781.7534083
MA,2007,876704034.3690292,876704034.3690292
MA,2008,841156756.4983187,841156756.4983187
MA,2009,647913150.2697662,647913150.2697662
MA,2010,610058632.6823156,610058632.6823156
MA,2011,605573573.1635611,605573573.1635611
MA,2012,790084731.5168806,790084731.5168806
MA,2013,840475976.128005,840475976.128005
MA,2014,723732966.4666145,723732966.4666145
MA,2015,793812220.2087831,793812220.2087831
MA,2016,811519303.7527899,811519303.7527899
MA,2017,666802026.3863238,666802026.3863238
MA,2018,640017911.3858116,640017911.3858116
MA,2019,669341573.2962253,669341573.2962253
MA,2020,658202474.0077186,658202474.0077186
MA,2021,947632428.3736011,947632428.3736011
MG,1970,198566735.6719666,141610729.55661523
MG,1971,214397619.54837915,150865845.52801445
MG,1972,223978988.9908904,158679332.2687447
MG,1973,233293432.66526768,164324776.97939885
MG,1974,242010019.82027274,174251559.01667124
MG,1975,283484703.2992359,191422289.24093705
MG,1976,296790593.66926146,203563949.02740884
MG,1977,295717043.8505806,189955160.65964255
MG,1978,325294450.991419,190488496.13887602
MG,1979,336921439.57309574,203749775.14151287
MG,1980,406416012.32960594,335134011.08623016
MG,1981,392784136.9661764,336510918.937083
MG,1982,434303719.4808058,400846410.45982885
MG,1983,416968571.6186804,400520659.52061677
MG,1984,423801332.96714455,412028138.43946594
MG,1985,441671161.8410754,419516674.21922916
MG,1986,464827308.77031356,464827308.77031356
MG,1987,475855458.0134797,463643285.1977596
MG,1988,503775265.1331412,467737327.8187244
MG,1989,512999062.466124,447479891.0600165
MG,1990,1162434227.5208137,1162434227.5208137
MG,1991,1300841840.3898046,1300841840.3898046
MG,1992,1158259099.3406215,1158259099.3406215
MG,1993,1134112193.8316765,1134112193.8316765
MG,1994,1081206958.0815632,1081206958.0815632
MG,1995,1121512694.7092276,1121512694.7092276
MG,1996,1079281994.1957438,1079281994.1957438
MG,1997,1094445854.7592773,1094445854.7592773
MG,1998,1051058652.5975482,1051058652.5975482
MG,1999,1103160916.0836363,1103160916.0836363
MG,2000,1109102695.613619,1109102695.613619
MG,2001,1094892495.8563743,1094892495.8563743
MG,2002,1142515699.5708063,1142515699.5708063
MG,2003,1189199875.9027796,1189199875.9027796
MG,2004,1227630670.9381835,1227630670.9381835
MG,2005,1226502085.2436824,1226502085.2436824
MG,2006,1215728431.0905373,1215728431.0905373
MG,2007,1222448147.953435,1222448147.953435
MG,2008,1228951433.714594,1228951433.714594
MG,2009,1132417162.6448007,1132417162.6448007
MG,2010,1206219418.353643,1206219418.353643
MG,2011,1215176857.3747172,1215176857.3747172
MG,2012,1259116074.6411707,1259116074.6411707
MG,2013,1338176731.5706017,1338176731.5706017
MG,2014,1296744314.7422984,1296744314.7422984
MG,2015,1228647600.6111376,1228647600.6111376
MG,2016,1143660523.9931831,1143660523.9931831
MG,2017,1118511494.226519,1118511494.226519
MG,2018,1105709618.760366,1105709618.760366
MG,2019,1154277869.9104214,1154277869.9104214
MG,2020,1142600382.6772015,1142600382.6772015
MG,2021,1250651375.999199,1250651375.999199
MS,1970,485513.64548304986,485513.64548304986
MS,1971,529442.5267556255,529442.5267556255
MS,1972,562530.5511838581,562530.5511838581
MS,1973,595761.2756453444,595761.2756453444
MS,1974,659199.9270319438,659199.9270319438
MS,1975,694371.5328936476,694371.5328936476
MS,1976,731336.1932328192,731336.1932328192
MS,1977,110056422.4662483,110056422.4662483
MS,1978,110057556.38371587,110057556.38371587
MS,1979,121716490.11503671,121716490.11503671
MS,1980,159715595.7409131,159715595.7409131
MS,1981,168465822.20962265,168465822.20962265
MS,1982,171525645.3028273,171525645.3028273
MS,1983,175037443.4214039,175037443.4214039
MS,1984,180121240.3621678,180121240.3621678
MS,1985,192047233.96429217,192047233.96429217
MS,1986,203159913.5411922,203159913.5411922
MS,1987,211018518.85213622,211018518.85213622
MS,1988,221688092.14197063,221688092.14197063
MS,1989,227326018.89548275,227326018.89548275
MS,1990,1147798769.807572,1147798769.807572
MS,1991,1083791787.078398,1083791787.078398
MS,1992,1071892806.5146347,1071892806.5146347
MS,1993,896218275.1237113,896218275.1237113
MS,1994,821609343.1915554,821609343.1915554
MS,1995,912053394.2115113,912053394.2115113
MS,1996,774522394.2942637,774522394.2942637
MS,1997,675505065.8274056,675505065.8274056
MS,1998,626164873.838267,626164873.838267
MS,1999,621780356.6433109,621780356.6433109
MS,2000,679463838.5604392,679463838.5604392
MS,2001,628285103.1739653,628285103.1739653
MS,2002,653231252.9768189,653231252.9768189
MS,2003,794037710.5620484,794037710.5620484
MS,2004,694931932.8210864,694931932.8210864
MS,2005,607661958.9852912,607661958.9852912
MS,2006,565515335.2730587,565515335.2730587
MS,2007,476739305.94530416,476739305.94530416
MS,2008,480537385.88938606,480537385.88938606
MS,2009,465643052.5403082,465643052.5403082
MS,2010,456570780.22826093,456570780.22826093
MS,2011,428940997.56150174,428940997.56150174
MS,2012,454799204.15101206,454799204.15101206
MS,2013,488492051.49013335,488492051.49013335
MS,2014,485182639.60975343,485182639.60975343
MS,2015,478162801.8929876,478162801.8929876
MS,2016,476490678.8109124,476490678.8109124
MS,2017,462304726.9442488,462304726.9442488
MS,2018,453987030.40554696,453987030.40554696
MS,2019,461363973.12305015,461363973.12305015
MS,2020,512615173.6864085,512615173.6864085
MS,2021,555127848.2360779,555127848.2360779
MT,1970,116603148.13391435,116603148.13391435
MT,1971,124100187.20811951,124100187.20811951
MT,1972,131030258.54880069,131030258.54880069
MT,1973,137831995.6133253,137831995.6133253
MT,1974,145355147.2128132,145355147.2128132
MT,1975,147216003.65859383,147216003.65859383
MT,1976,156382172.6094081,156382172.6094081
MT,1977,50051713.73613671,50051713.73613671
MT,1978,53041642.21286076,53041642.21286076
MT,1979,55256142.599278845,55256142.599278845
MT,1980,74417571.0926241,74417571.0926241
MT,1981,76656661.84133923,76656661.84133923
MT,1982,83001621.93560083,83001621.93560083
MT,1983,89237719.65199992,89237719.65199992
MT,1984,95589184.87074006,95589184.87074006
MT,1985,94905819.93982661,94905819.93982661
MT,1986,103726497.15799135,103726497.15799135
MT,1987,112636349.3146937,112636349.3146937
MT,1988,121563462.12341116,121563462.12341116
MT,1989,133309560.19297683,133309560.19297683
MT,1990,2294175442.9409385,1786105212.6874804
MT,1991,2482430751.629169,2086123437.0441933
MT,1992,3280627534.6951594,1850839021.3876848
MT,1993,3087559285.435437,1873809944.634305
MT,1994,4441619055.7315235,1748730628.3410897
MT,1995,5430464194.938456,1864331900.9191058
MT,1996,4282687223.6457896,1682588255.140428
MT,1997,4282012398.5972996,1492054083.4369159
MT,1998,4311768814.45638,1452214809.6174603
MT,1999,4705152188.072974,1441671346.2389097
MT,2000,3673028759.6759725,1597421210.111496
MT,2001,3914842905.619027,1461625488.958037
MT,2002,5102454546.188352,1439589634.5468264
MT,2003,6987871822.467416,1756765405.1874251
MT,2004,6338543392.669635,1634864617.4877434
MT,2005,4810841508.795008,1477840647.7268162
MT,2006,2900571021.1888804,1407823436.1129947
MT,2007,2092437586.2678134,1293464107.822003
MT,2008,2241675427.1642284,1517842552.1209042
MT,2009,1222545012.7281485,1222545012.7281485
MT,2010,1226811880.4697456,1219362733.946204
MT,2011,1553168550.6516445,1379870332.5737264
MT,2012,1484627226.6102185,1428804121.0231996
MT,2013,1869191871.8395257,1470588137.6128724
MT,2014,1657236450.6425326,1374447619.4338036
MT,2015,1884896803.9379754,1527164019.9785469
MT,2016,1606807119.6907642,1606807119.6907642
MT,2017,1659704320.8941636,1403796646.2183342
MT,2018,1773093560.4205954,1414589663.2566411
MT,2019,2039552433.7173326,1447796105.411059
MT,2020,1770385980.6045976,1452811854.7444901
MT,2021,2081610148.254339,1937649082.7022467
PA,1970,19252651.892507363,19252651.892507363
PA,1971,20749121.19719968,20749121.19719968
PA,1972,22290733.574439794,22290733.574439794
PA,1973,23290282.022200722,23290282.022200722
PA,1974,24598208.365358535,24598208.365358535
PA,1975,25792552.03339296,25792552.03339296
PA,1976,27217595.290472705,27217595.290472705
PA,1977,28593270.258617405,28593270.258617405
PA,1978,30088764.352038804,30088764.352038804
PA,1979,32398854.341973964,32398854.341973964
PA,1980,61110322.841837466,61110322.841837466
PA,1981,79285659.53660852,79285659.53660852
PA,1982,80869424.99150759,80869424.99150759
PA,1983,78489583.62695165,78489583.62695165
PA,1984,84728867.37850554,84728867.37850554
PA,1985,80000399.45619015,80000399.45619015
PA,1986,96738776.86202693,96738776.86202693
PA,1987,115048393.15472747,115048393.15472747
PA,1988,124164532.82722333,124164532.82722333
PA,1989,131610670.61915922,131610670.61915922
PA,1990,3188967306.8954787,1786105212.6874804
PA,1991,2741539164.9557333,2086123437.0441933
PA,1992,3516001029.4013057,1850839021.3876848
PA,1993,3011822007.527626,1873809944.634305
PA,1994,3416492619.896909,1748730628.3410897
PA,1995,4487789045.043316,1864331900.9191058
PA,1996,3645979818.659812,1682588255.140428
PA,1997,4707461662.545025,1492054083.4369159
PA,1998,3965480384.8369803,1452214809.6174603
PA,1999,3170594883.2053275,1441671346.2389097
PA,2000,3604860102.663261,1597421210.111496
PA,2001,4666092498.247424,1461625488.958037
PA,2002,3997553156.384828,1439589634.5468264
PA,2003,4766419972.909515,1756765405.1874251
PA,2004,5310774578.553083,1634864617.4877434
PA,2005,4264134446.4285483,1477840647.7268162
PA,2006,4142756423.804497,1407823436.1129947
PA,2007,3529719540.635352,1293464107.822003
PA,2008,3341370587.679349,1517842552.1209042
PA,2009,2349590317.529361,1254380803.4345076
PA,2010,1867179913.64388,1219362733.946204
PA,2011,1647557480.465355,1379870332.5737264
PA,2012,1752518384.2485766,1428804121.0231996
PA,2013,2042302399.3244483,1470588137.6128724
PA,2014,1983627025.2912183,1374447619.4338036
PA,2015,2238360867.8906918,1527164019.9785469
PA,2016,2856423538.4943166,1655729085.3383493
PA,2017,2119282562.532932,1403796646.2183342
PA,2018,2686980822.0787573,1414589663.2566411
PA,2019,2888772929.6357737,1447796105.411059
PA,2020,3290581711.77837,1452811854.7444901
PA,2021,3701683546.2860503,1937649082.7022467
PB,1970,12926363.53302969,12926363.53302969
PB,1971,14313272.437194593,14313272.437194593
PB,1972,15482062.010324668,15482062.010324668
PB,1973,16553464.61968364,16553464.61968364
PB,1974,17240092.37222219,17240092.37222219
PB,1975,19026723.59267249,19026723.59267249
PB,1976,20005486.67842562,20005486.67842562
PB,1977,21584241.84780101,21584241.84780101
PB,1978,21776077.780714992,21776077.780714992
PB,1979,22027475.538373243,22027475.538373243
PB,1980,25318436.461115044,25318436.461115044
PB,1981,25410934.641242746,25410934.641242746
PB,1982,26195325.08933515,26195325.08933515
PB,1983,23412320.460379634,23412320.460379634
PB,1984,24062711.917433675,24062711.917433675
PB,1985,26067367.74613322,26067367.74613322
PB,1986,30029499.803598534,30029499.803598534
PB,1987,29509510.36702806,29509510.36702806
PB,1988,30453056.274919365,30453056.274919365
PB,1989,32870924.23122235,32870924.23122235
PB,1990,68458882.13268298,68458882.13268298
PB,1991,57325886.19246184,57325886.19246184
PB,1992,60432824.866477884,60432824.866477884
PB,1993,57760707.85713287,57760707.85713287
PB,1994,53447625.00344753,53447625.00344753
PB,1995,62954032.446148194,62954032.446148194
PB,1996,76109923.1929386,76109923.1929386
PB,1997,64914631.311666645,64914631.311666645
PB,1998,68459444.7532877,68459444.7532877
PB,1999,55710108.33356586,55710108.33356586
PB,2000,54652748.452048674,54652748.452048674
PB,2001,51506881.19010987,51506881.19010987
PB,2002,51291679.48693243,51291679.48693243
PB,2003,50260595.37656688,50260595.37656688
PB,2004,51917478.29849502,51917478.29849502
PB,2005,53013039.703372575,53013039.703372575
PB,2006,56927193.25814112,56927193.25814112
PB,2007,67824166.11445294,67824166.11445294
PB,2008,66749635.42618026,66749635.42618026
PB,2009,59260028.31407058,59260028.31407058
PB,2010,71901712.03097506,71901712.03097506
PB,2011,75227985.04768735,75227985.04768735
PB,2012,101108944.72985916,101108944.72985916
PB,2013,90587206.24723604,90587206.24723604
PB,2014,101792071.00712256,101792071.00712256
PB,2015,108201235.7691075,108201235.7691075
PB,2016,105117203.74556369,105117203.74556369
PB,2017,103923198.25856368,103923198.25856368
PB,2018,90315351.43086441,90315351.43086441
PB,2019,84008475.3548751,84008475.3548751
PB,2020,86115779.82540317,86115779.82540317
PB,2021,95325043.68136296,95325043.68136296
PE,1970,20705103.372718815,20705103.372718815
PE,1971,24108265.84314871,24108265.84314871
PE,1972,25312583.45803563,25312583.45803563
PE,1973,26575510.946473017,26575510.946473017
PE,1974,28153075.52203014,28153075.52203014
PE,1975,29370643.412980832,29370643.412980832
PE,1976,31010327.31160123,31010327.31160123
PE,1977,31738980.588437993,31738980.588437993
PE,1978,33192763.54833424,33192763.54833424
PE,1979,33836354.149265036,33836354.149265036
PE,1980,48324607.916065045,48324607.916065045
PE,1981,48631238.1222275,48631238.1222275
PE,1982,58132460.0766693,58132460.0766693
PE,1983,51275660.8559666,51275660.8559666
PE,1984,51379813.82254983,51379813.82254983
PE,1985,54187441.547671154,54187441.547671154
PE,1986,58329151.0010833,58329151.0010833
PE,1987,61132890.87749214,61132890.87749214
PE,1988,60085954.83088311,60085954.83088311
PE,1989,60348144.53217026,60348144.53217026
PE,1990,142556445.79280508,142556445.79280508
PE,1991,143595971.1528901,143595971.1528901
PE,1992,127695852.28533629,127695852.28533629
PE,1993,108258750.4715302,108258750.4715302
PE,1994,95037757.32886665,95037757.32886665
PE,1995,108747701.85565232,108747701.85565232
PE,1996,109408040.10606277,109408040.10606277
PE,1997,108632486.14453812,108632486.14453812
PE,1998,122317826.60341738,122317826.60341738
PE,1999,108992656.15703407,108992656.15703407
PE,2000,108447225.86665398,108447225.86665398
PE,2001,110996251.69620614,110996251.69620614
PE,2002,112572214.6846422,112572214.6846422
PE,2003,110204310.40707093,110204310.40707093
PE,2004,111788277.99086261,111788277.99086261
PE,2005,119578298.99444886,119578298.99444886
PE,2006,112260896.61958,112260896.61958
PE,2007,120593157.8469197,120593157.8469197
PE,2008,129958134.58624709,129958134.58624709
PE,2009,125409961.35428345,125409961.35428345
PE,2010,151176692.7677766,151176692.7677766
PE,2011,161504410.32501993,161504410.32501993
PE,2012,196352197.82759377,196352197.82759377
PE,2013,182086703.37920383,182086703.37920383
PE,2014,189632962.60737693,189632962.60737693
PE,2015,193987309.3498005,193987309.3498005
PE,2016,172954939.46477222,172954939.46477222
PE,2017,167841006.2678708,167841006.2678708
PE,2018,157163881.7938273,157163881.7938273
PE,2019,157699046.08927554,157699046.08927554
PE,2020,157781776.46343225,157781776.46343225
PE,2021,183607670.82817924,183607670.82817924
PI,1970,20450812.929188434,20450812.929188434
PI,1971,21630174.041543826,21630174.041543826
PI,1972,22742103.959355853,22742103.959355853
PI,1973,23860711.167356096,23860711.167356096
PI,1974,24981210.3962605,24981210.3962605
PI,1975,25854368.15674312,25854368.15674312
PI,1976,25730177.408889893,25730177.408889893
PI,1977,25923525.723814547,25923525.723814547
PI,1978,26453649.06279936,26453649.06279936
PI,1979,27454138.557095833,27454138.557095833
PI,1980,29346284.36148322,29346284.36148322
PI,1981,29943315.223187953,29943315.223187953
PI,1982,31573011.650043927,31573011.650043927
PI,1983,28874837.820337776,28874837.820337776
PI,1984,30006777.26833557,30006777.26833557
PI,1985,31967122.311351683,31967122.311351683
PI,1986,34346890.37048681,34346890.37048681
PI,1987,34201857.36581165,34201857.36581165
PI,1988,36330576.84569633,36330576.84569633
PI,1989,38419370.913564995,38419370.913564995
PI,1990,102077469.97359294,102077469.97359294
PI,1991,97784888.69364005,97784888.69364005
PI,1992,90633609.29521917,90633609.29521917
PI,1993,83714754.9467586,83714754.9467586
PI,1994,83329933.31772512,83329933.31772512
PI,1995,83679845.975902,83679845.975902
PI,1996,82559306.84112741,82559306.84112741
PI,1997,92094007.149429,92094007.149429
PI,1998,105213429.07717237,105213429.07717237
PI,1999,120994699.00010224,120994699.00010224
PI,2000,101755070.09635107,101755070.09635107
PI,2001,145186152.39105976,145186152.39105976
PI,2002,97903358.32962564,97903358.32962564
PI,2003,96705418.19391336,96705418.19391336
PI,2004,216462762.79467416,216462762.79467416
PI,2005,154184855.84210476,154184855.84210476
PI,2006,110905346.77337208,110905346.77337208
PI,2007,116994442.0359833,116994442.0359833
PI,2008,145307132.53391477,145307132.53391477
PI,2009,114583741.18835221,114583741.18835221
PI,2010,200102384.04612514,200102384.04612514
PI,2011,136613330.0141439,136613330.0141439
PI,2012,298053114.674886,298053114.674886
PI,2013,230345188.14639598,230345188.14639598
PI,2014,207243487.1734326,207243487.1734326
PI,2015,180534435.8896357,180534435.8896357
PI,2016,127946301.04748753,127946301.04748753
PI,2017,152834482.20132872,152834482.20132872
PI,2018,137873964.39700338,137873964.39700338
PI,2019,156246834.03247103,156246834.03247103
PI,2020,159711046.8143854,159711046.8143854
PI,2021,114688082.73901032,114688082.73901032
PR,1970,79826834.81185417,79826834.81185417
PR,1971,85493705.9325739,85493705.9325739
PR,1972,90508034.12261042,90508034.12261042
PR,1973,94624873.5904961,94624873.5904961
PR,1974,100431643.79932955,100431643.79932955
PR,1975,111010201.83026077,111010201.83026077
PR,1976,118053110.30323544,118053110.30323544
PR,1977,119227681.25996076,119227681.25996076
PR,1978,113022786.43950886,113022786.43950886
PR,1979,118458176.34583902,118458176.34583902
PR,1980,180886332.890676,180886332.890676
PR,1981,180285872.8906718,180285872.8906718
PR,1982,190677859.45189345,190677859.45189345
PR,1983,185954326.7125734,185954326.7125734
PR,1984,185143754.7123203,185143754.7123203
PR,1985,195174687.6540825,195174687.6540825
PR,1986,205708491.75510094,205708491.75510094
PR,1987,215159181.6179076,215159181.6179076
PR,1988,210866271.86977923,210866271.86977923
PR,1989,216841158.9058061,216841158.9058061
PR,1990,608868849.6367474,608868849.6367474
PR,1991,585239176.9120646,585239176.9120646
PR,1992,518844825.9999683,518844825.9999683
PR,1993,525749542.99237895,525749542.99237895
PR,1994,529963582.2443106,529963582.2443106
PR,1995,542596715.8511839,542596715.8511839
PR,1996,522314293.4120034,522314293.4120034
PR,1997,554554440.1944624,554554440.1944624
PR,1998,499252918.719191,499252918.719191
PR,1999,556453724.6216372,556453724.6216372
PR,2000,549488352.9309138,549488352.9309138
PR,2001,521766925.29321027,521766925.29321027
PR,2002,525378904.55988616,525378904.55988616
PR,2003,539070719.1581515,539070719.1581515
PR,2004,501914750.276836,501914750.276836
PR,2005,487904005.2870661,487904005.2870661
PR,2006,515832322.0932027,515832322.0932027
PR,2007,515921428.75518817,515921428.75518817
PR,2008,514404627.93092936,514404627.93092936
PR,2009,486751774.3865178,486751774.3865178
PR,2010,500654826.157832,500654826.157832
PR,2011,505722460.9883777,505722460.9883777
PR,2012,524157650.5694266,524157650.5694266
PR,2013,556158574.9180969,556158574.9180969
PR,2014,566114629.6476587,566114629.6476587
PR,2015,578559177.7071356,578559177.7071356
PR,2016,541437816.5959338,541437816.5959338
PR,2017,533390283.46207523,533390283.46207523
PR,2018,530602778.27826667,530602778.27826667
PR,2019,568478986.780994,568478986.780994
PR,2020,563659431.3968626,563659431.3968626
PR,2021,656768479.0254647,656768479.0254647
